direct	iata	name	country	country_name
False	SLM	Саламанка	ES	Испания
False	OZC	Озамиз	PH	Филиппины
False	OZG	Загора	MA	Марокко
False	TGO	Тунляо	CN	Китай
False	YFT	Тайпа	MO	Макао
False	PIU	Пьюра	PE	Перу
False	IMF	Импхал	IN	Индия
False	PKU	Пеканбару	ID	Индонезия
False	KMW	Кострома	RU	Россия
False	ENY	Яньань	CN	Китай
False	YTS	Тимминс	CA	Канада
False	EDL	Элдорет	KE	Кения
False	NSH	Ноушехр	IR	Иран
False	SDD	Лубанго	AO	Ангола
False	KNX	Кунунарра	AU	Австралия
False	QSR	Салерно	IT	Италия
False	JUZ	Цюйчжоу	CN	Китай
False	CRI	Крукед-Айленд	BS	Багамы
False	TUO	Таупо	NZ	Новая Зеландия
False	LKN	Лекнес	NO	Норвегия
False	PHS	Пхитсанулок	TH	Таиланд
False	NNT	Нан	TH	Таиланд
False	CTM	Четумаль	MX	Мексика
False	SOJ	Сёркьосен	NO	Норвегия
False	CHG	Чаоян	CN	Китай
False	SRY	Сари	IR	Иран
False	MYW	Мтвара	TZ	Танзания
False	SWQ	Сумбава-Бесар	ID	Индонезия
False	DJG	Джане	DZ	Алжир
False	JTY	Астипалея	GR	Греция
False	MTR	Монтерия	CO	Колумбия
False	GCK	Гарден-Сити	US	США
False	BFV	Бурирам	TH	Таиланд
False	XTJ	Толедо	ES	Испания
False	ATZ	Асьют	EG	Египет
False	HME	Хасси-Мессауд	DZ	Алжир
False	MKM	Муках	MY	Малайзия
False	JRH	Джорхат	IN	Индия
False	VVZ	Иллизи	DZ	Алжир
False	WXN	Ваньчжоу	CN	Китай
False	GIS	Гисборн	NZ	Новая Зеландия
False	ORH	Вустер	US	США
False	GVN	Советская Гавань	RU	Россия
False	BGG	Бингёль	TR	Турция
False	SNR	Сен-Назер	FR	Франция
False	IAO	Сайяк (Сиаргао)	PH	Филиппины
False	KRW	Туркменбашы	TM	Туркменистан
False	HLE	Джеймстаун	SH	острова Святой Елены, Вознесения и Тристан-да-Кунья
False	CRK	Центральный Лусон	PH	Филиппины
False	BOC	Бокас-дель-Торо	PA	Панама
False	CRM	Катарман	PH	Филиппины
False	DPL	Диполог	PH	Филиппины
False	AQG	Аньцин	CN	Китай
False	JKR	Джанакпур	NP	Непал
False	LGI	Дедменс-Кей	BS	Багамы
False	GSM	Кешм	IR	Иран
False	DKS	Диксон	RU	Россия
False	LOO	Лагуат	DZ	Алжир
False	UIN	Куинси	US	США
False	SHM	Сирахама	JP	Япония
False	LCH	Лейк-Чарльз	US	США
False	ERG	Ербогачён	RU	Россия
False	BIR	Биратнагар	NP	Непал
False	ROI	Ройет	TH	Таиланд
False	YUY	Руэн-Норанда	CA	Канада
False	BSD	Баошань	CN	Китай
False	WRE	Фангареи	NZ	Новая Зеландия
False	MYP	Мары	TM	Туркменистан
False	ACX	Синъи	CN	Китай
False	TMX	Тимимун	DZ	Алжир
False	OWB	Оуэнсборо	US	США
False	IMP	Императрис	BR	Бразилия
False	RGI	Рангироа	PF	Французская Полинезия
False	DAX	Дачжоу	CN	Китай
False	CIX	Чиклайо	PE	Перу
False	FMA	Формоса	AR	Аргентина
False	TVS	Таншань	CN	Китай
False	CNN	Каннур	IN	Индия
False	KAW	Кодаун	MM	Мьянма
False	PXU	Плейку	VN	Вьетнам
False	ZAT	Чжаотун	CN	Китай
False	YOL	Йола	NG	Нигерия
False	PBO	Параберду	AU	Австралия
False	KKE	Керикери	NZ	Новая Зеландия
False	LYH	Линчбург	US	США
False	JIQ	Цяньцзян	CN	Китай
False	SBN	Саут-Бенд	US	США
False	XCH	остров Рождества	CX	Остров Рождества
False	AIT	Аитутаки	CK	Острова Кука
False	HHQ	Хуахин	TH	Таиланд
False	CJM	Чумпхон	TH	Таиланд
False	JDO	Жуазейру-ду-Норти	BR	Бразилия
False	GUC	Ганнисон	US	США
False	CSL	Сан-Луис-Обиспо	US	США
False	FON	Ла-Фортуна	CR	Коста-Рика
False	KUH	Кусиро	JP	Япония
False	UTT	Умтата	ZA	ЮАР
False	AVA	Аньшунь	CN	Китай
False	BPL	Боро-Тала	CN	Китай
False	MSZ	Намибе	AO	Ангола
False	MCK	Маккук	US	США
False	SLV	Шимла	IN	Индия
False	JXA	Цзиси	CN	Китай
False	GHA	Гардая	DZ	Алжир
False	DLE	Доль	FR	Франция
False	CGM	Камигин	PH	Филиппины
False	RNN	Борнхольм	DK	Дания
False	KGT	Кандин	CN	Китай
False	INZ	Ин-Салах	DZ	Алжир
False	RIB	Риберальта	BO	Боливия
False	CDB	Колд-Бэй	US	США
False	LBF	Норт-Платт	US	США
False	CBT	Катумбела	AO	Ангола
False	TGT	Танга	TZ	Танзания
False	PKY	Паланкарая	ID	Индонезия
False	SRI	Самаринда	ID	Индонезия
False	XAP	Шапеко	BR	Бразилия
False	SHB	Накасибецу	JP	Япония
False	KET	Чёнгтун	MM	Мьянма
False	KNU	Канпур	IN	Индия
False	PRC	Прескотт	US	США
False	OMD	Ораньемунд	NA	Намибия
False	IBR	Ибараки	JP	Япония
False	HBX	Хубли-Дхарвад	IN	Индия
False	PGV	Гринвилл	US	США
False	VIJ	Верджин-Горда	VG	Британские Виргинские острова
False	PPB	Президенти-Пруденти	BR	Бразилия
False	RMU	Корвера	ES	Испания
False	RBR	Риу-Бранку	BR	Бразилия
False	BET	Бетел	US	США
False	VDS	Вадсё	NO	Норвегия
False	CEZ	Кортес	US	США
False	CVU	Корву	PT	Португалия
False	DVL	Девилс-Лейк	US	США
False	JGD	Джагдачи	CN	Китай
False	CRZ	Туркменабад	TM	Туркменистан
False	TRE	Тири	GB	Великобритания
False	RVD	Риу-Верди	BR	Бразилия
False	KSU	Кристиансунн	NO	Норвегия
False	IFP	Буллхед-Сити	US	США
False	BMU	Бима	ID	Индонезия
False	COU	Коламбия	US	США
False	SYO	Сёнай	JP	Япония
False	MOV	Моранба	AU	Австралия
False	TKQ	Кигома	TZ	Танзания
False	TNH	Тунхуа	CN	Китай
False	KSE	Касесе	UG	Уганда
False	RJA	Раджамандри	IN	Индия
False	CKB	Кларксберг	US	США
False	PNY	Пондичерри	IN	Индия
False	VKG	Ратьзя	VN	Вьетнам
False	MCV	Мак-Артур-Ривер-Майн	AU	Австралия
False	TBN	Форт-Леонард-Вуд	US	США
False	PQI	Преск-Айл	US	США
False	ENI	Эль-Нидо	PH	Филиппины
False	ARD	Алор	ID	Индонезия
False	LUD	Людериц	NA	Намибия
False	YZY	Чжанъе	CN	Китай
False	LZN	Наньгань	TW	Тайвань
False	VEL	Вернал	US	США
False	FUN	Фунафути	TV	Тувалу
False	DRV	Дараванду	MV	Мальдивы
False	SZY	Шиманы	PL	Польша
False	SZA	Сойо	AO	Ангола
False	BUW	Баубау	ID	Индонезия
False	ABL	Амблер	US	США
False	DNR	Динар	FR	Франция
False	JHS	Сисимиут	GL	Гренландия
False	YRB	Резольют	CA	Канада
False	OGS	Огденсберг	US	США
False	PKB	Паркерсберг	US	США
False	AJF	Сакака	SA	Саудовская Аравия
False	UNK	Уналаклит	US	США
False	TUP	Тьюпело	US	США
False	LOE	Лей	TH	Таиланд
False	ATM	Алтамира	BR	Бразилия
False	WBM	Вапенаманда	PG	Папуа — Новая Гвинея
False	SUY	Сунтар	RU	Россия
False	UEL	Келимане	MZ	Мозамбик
False	HOM	Хомер	US	США
False	UYU	Уюни	BO	Боливия
False	MEI	Меридиан	US	США
False	PDT	Пендлтон	US	США
False	MGH	Маргит	ZA	ЮАР
False	ONJ	Одате	JP	Япония
False	TBO	Табора	TZ	Танзания
False	WHK	Факатане	NZ	Новая Зеландия
False	CYI	Цзяи	TW	Тайвань
False	LIO	Лимон	CR	Коста-Рика
False	TLY	Пластун	RU	Россия
True	NQZ	Нур-Султан (Астана)	KZ	Казахстан
False	YIO	Понд-Инлет	CA	Канада
False	PMF	Парма	IT	Италия
False	TQL	Тарко-Сале	RU	Россия
